id,screen_name,created_at,fav,rt,RTed,text,media1,media2,media3,media4,compound,neg,neu,pos
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676418700277325829"", ""1676418700277325829"")",TheMorningLK,2023-07-05 02:32:19,1,0,,https://t.co/Bor4poX0se,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676178792052817920"", ""1676178792052817920"")",TheMorningLK,2023-07-04 10:39:00,0,0,,https://t.co/4VH3S59EAn,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676133300967198720"", ""1676133300967198720"")",TheMorningLK,2023-07-04 07:38:14,0,0,,https://t.co/RX1DwnZ0kL,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676130292145475589"", ""1676130292145475589"")",TheMorningLK,2023-07-04 07:26:17,0,0,,https://t.co/iz9dO2O5ew,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676098648273473537"", ""1676098648273473537"")",TheMorningLK,2023-07-04 05:20:32,1,0,,https://t.co/NzE5WMW8Ni,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676066698338930688"", ""1676066698338930688"")",TheMorningLK,2023-07-04 03:13:35,0,0,,https://t.co/B4CndnPOR9,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676065750044508161"", ""1676065750044508161"")",TheMorningLK,2023-07-04 03:09:49,1,0,,https://t.co/TvuFsnHePz,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676064383783546881"", ""1676064383783546881"")",TheMorningLK,2023-07-04 03:04:23,1,0,,https://t.co/sC47XLt8kz,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676064312325197824"", ""1676064312325197824"")",TheMorningLK,2023-07-04 03:04:06,0,0,,https://t.co/GvnR8OMoND,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676064244566233088"", ""1676064244566233088"")",TheMorningLK,2023-07-04 03:03:50,0,0,,https://t.co/HboZqOmj5B,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676064172533223427"", ""1676064172533223427"")",TheMorningLK,2023-07-04 03:03:33,0,0,,https://t.co/WV9B93wJO9,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676064040744017923"", ""1676064040744017923"")",TheMorningLK,2023-07-04 03:03:01,1,0,,https://t.co/ozVxsAypr0,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676063866143531009"", ""1676063866143531009"")",TheMorningLK,2023-07-04 03:02:20,0,0,,https://t.co/0OZYc2bP4r,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1675701692602658816"", ""1675701692602658816"")",TheMorningLK,2023-07-03 03:03:11,0,0,,https://t.co/ABwlRl27aE,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1675701616308260866"", ""1675701616308260866"")",TheMorningLK,2023-07-03 03:02:53,0,0,,https://t.co/Q4nZADQdSd,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1675701543172177920"", ""1675701543172177920"")",TheMorningLK,2023-07-03 03:02:35,0,0,,https://t.co/Vnugm70v2e,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1675701274095013889"", ""1675701274095013889"")",TheMorningLK,2023-07-03 03:01:31,0,0,,https://t.co/KAh75H5l3q,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1675701171447808000"", ""1675701171447808000"")",TheMorningLK,2023-07-03 03:01:06,1,0,,https://t.co/MTcF7fzJsu,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1675321673418153985"", ""1675321673418153985"")",TheMorningLK,2023-07-02 01:53:07,0,0,,https://t.co/WhGXz2igSs,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1675321598956666880"", ""1675321598956666880"")",TheMorningLK,2023-07-02 01:52:49,0,0,,https://t.co/hEIUIZHH5u,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1675321244819034113"", ""1675321244819034113"")",TheMorningLK,2023-07-02 01:51:25,0,0,,https://t.co/PC6UqWYzUA,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1675321163483054081"", ""1675321163483054081"")",TheMorningLK,2023-07-02 01:51:05,0,0,,https://t.co/uNDcuwxZ2B,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1675321073620127744"", ""1675321073620127744"")",TheMorningLK,2023-07-02 01:50:44,0,0,,https://t.co/jhAX75nL41,,,,,0.0,0.0,1.0,0.0
